question_formal,question_conversational,answer,context,page,chunck
ما هو عدد الأسرة السعودية التي تسلمت منازلها في عام 2023؟,كم عدد الأسر السعودية اللي استلموا بيوتهم في 2023؟,أكثر من 66 ألف أسرة.,"تسـليم أكثـر مـن 66 ألـف أسـرة سـعودية منازلهـا وإطـاق أكثـر مـن 24 ألـف وحدة سـكنية بالشـراكة مـع المطوريـن العقارييـن، لرفـع نسـبة التملـك لألسـر السـعودية وتوفيـر مشـاريع سـكنية متكاملـة المرافـق وخدمـات ذات جـودة وفقـاً لمعاييـر جـودة الحيـاة، ممـا سـاهم فـي رفـع نسـبة التملـك لألسـر السـعودية وتمكيـن قطـاع التطويـر العقـاري السـكني مـن ّ تعزيــز المعــروض وتطويــر نمــاذج الشــراكات لتشــجيع االســتثمار ورفــع قــدرات المطوريــن العقاريين",٤٨,209
ما هو عدد المستفيدين من خدمة الإسعاف الجوي في عام 2023؟,كم عدد الناس اللي استفادوا من الإسعاف الجوي في 2023؟,964 مستفيد.,"تدشــين خدمــة اإلســعاف الجــوي حيــث بلغــت التغطيــة الســكانية نســبة ،%70 وتــم إســعاف عــدد 964 مســتفيد بمعــدل زيــادة %155 عــن العــام الســابق.",٥٠,217
ما هو عدد الميداليات التي حققتها المملكة في المسابقات الإقليمية والعالمية في عام 2023؟,كم ميدالية جبناها في المسابقات اللي صارت برا في 2023؟,60 ميدالية.,تحقيـق المملكـة العربيـة السـعودية لعـدد )60( مـن الميداليـات اإلقليميـة والعالميـة فـي ً عـدة مسـابقات ممـا سـاهم فـي تعزيـز صـورة المملكـة دوليـا.,٥١,229
ما هو عدد الوظائف التي تم توفيرها في القطاع الخاص بنهاية الربع الثالث من عام 2023؟,كم وظيفة صارت في القطاع الخاص بنهاية الربع الثالث من 2023؟,343 ألف فرصة عمل.,ارتفـاع معـدل السـعوديين فـي قـرارات التوطيـن وارتفـاع عددهـم فـي سـوق العمـل عبـر توفيـر 343 ألـف فرصـة عمـل ليصـل عـدد السـعوديين العامليـن فـي القطـاع الخـاص إلـى أكثـر مـن 2.3 مليـون بنهايـة الربـع الثالـث مـن العـام الحالـي.,٥٢,232
"ما هو الهدف من مشروع ""طروق السعودية""؟","وش الهدف من مشروع ""طرق السعودية""؟",توثيق جميع الفنون الأدائية والموسيقية في مناطق المملكة.,"إطـاق مشـروع ”طـروق السـعودية“ المعنـي بتوثيـق جميـع الفنـون األدائيـة والموسـيقية فــي مناطــق المملكــة بأكثــر مــن 250 فيديــو توثيقــي للفنــون األدائيــة والموســيقية، وتدويـن موسـيقي لعـدد 270 ً لحنً ـا تراثيـا، وإيجـاد مكتبـة موسـيقية إيقاعيـة شـاملة.",٥٢,239
ما هو عدد الجهات الحكومية التابعة لقطاع الموارد الاقتصادية؟,كم عدد الجهات الحكومية اللي تبع قطاع الموارد الاقتصادية؟,48 جهة.,عدد الجهات الحكومية 48 جهة التابعــــــــــــــــة للقطــــــــــــــــــــاع,٥٦,261
ما هو عدد الشتلات البرية التي تم إنتاجها في عام 2023 ضمن مبادرة السعودية الخضراء؟,كم شتلة برية زرعناها في 2023 في مبادرة السعودية الخضراء؟,أكثر من 3 مليون شتلة.,إنتــاج أكثــر مــن 3 مليــون شــتلة بريــة عبــر مشــاريع قصيــرة لتنميــة وزيــادة الغطــاء النباتــي وتحســين الظــروف المناخيــة مــن المســاهمة فــي التخفيــف مــن التصحــر وآثــاره ضمــن مبــادرة الســعودية الخضــراء.,٥٦,262
ما هي كمية السلع الغذائية الأساسية التي تم توفيرها في عام 2023 للمساهمة في تحقيق الأمن الغذائي؟,كم كمية الأكل الأساسي اللي وفرناها في 2023 عشان يكون عندنا اكتفاء ذاتي؟,أكثر من 10 مليون طن.,"المســاهمة فــي تحقيــق األمــن الغذائــي فــي المملكــة مــن خــال توفيــر أكثــر مــن 10 مليـون طـن مـن 12 سـلعة غذائيـة أساسـية، والمسـاهمة فـي توريـد أكثـر مـن 1 مليـون طـن مـن السـلع االسـتراتيجية محليـا،ً وتعزيـز المخـزون االسـتراتيجي بقيمـة أكثـر مـن 2.4 مليــار ريــال مــن المنتجــات الزراعيــة لضمــان اســتقرار سالســل االمــداد والتغذيــة.",٥٦,263
ما هي كمية السلع الإستراتيجية التي تم توريدها محلياً في عام 2023 للمساهمة في تحقيق الأمن الغذائي؟,كم كمية السلع الإستراتيجية اللي جبناها من داخل السعودية في 2023 عشان يكون عندنا اكتفاء ذاتي؟,أكثر من 1 مليون طن.,"المســاهمة فــي تحقيــق األمــن الغذائــي فــي المملكــة مــن خــال توفيــر أكثــر مــن 10 مليـون طـن مـن 12 سـلعة غذائيـة أساسـية، والمسـاهمة فـي توريـد أكثـر مـن 1 مليـون طـن مـن السـلع االسـتراتيجية محليـا،ً وتعزيـز المخـزون االسـتراتيجي بقيمـة أكثـر مـن 2.4 مليــار ريــال مــن المنتجــات الزراعيــة لضمــان اســتقرار سالســل االمــداد والتغذيــة.",٥٦,263
ما هو ترتيب المملكة في مؤشر سهولة بدء الأعمال في تقرير ريادة الأعمال العالمي لعام 2023؟,وش ترتيبنا في قائمة الدول اللي يسهل فيها الواحد يبدأ مشروع خاص في 2023؟,الأولى,"تحسـن ترتيـب المملكـة فـي تقريـر ريـادة األعمـال العالمـي فـي مجموعـة مـن المؤشـرات مــن أهمهــا تقــدم المملكــة إلــى المرتبــة الثانيــة مــن أصــل 49 دولــة فــي مؤشــر ريــادة األعمــال )NECI)، ومحافظتهــا علــى المرتبــة األولــى فــي عــدد مــن المؤشــرات الفرعيــة مثـل مؤشـر سـهولة البـدء فـي األعمـال، ومؤشـر توفـر الفـرص الجيـدة لبـدء عمـل تجـاري",٥٧,266
ما هي قيمة التمويل الذي قدمه صندوق التنمية الصناعي السعودي لأكبر مجمع هيدروجين أمونيا في العالم في نيوم؟,كم الفلوس اللي عطاها صندوق التنمية الصناعي لأكبر مجمع هيدروجين-أمونيا في العالم في نيوم؟,4.7 مليار ريال.,تمويـل صنـدوق التنميـة الصناعـي السـعودي ألكبـر مجمـع هيدروجيـن أمونيـا فـي العالـم فـي نيـوم بقيمـة 4.7 مليـار ريـال بمـا يتماشـى مـع تحقيـق رؤيـة السـعودية 2030 ومبـادرة السـعودية الخضـراء.,٥٧,268
ما هو عدد المنتجات التي تمت إضافتها إلى القائمة الإلزامية في لائحة التفضيل السعري الإضافي لتعزيز المحتوى المحلي الصناعي في المشتريات الحكومية؟,كم منتج أضفنا للقائمة الإلزامية في لائحة التفضيل السعري عشان ندعم الصناعة المحلية في المشتريات الحكومية؟,207 منتجات.,زيـادة المحتـوى المحلـي الصناعـي فـي المشـتريات الحكوميـة مـن خـال إدراج 207 منتـج مـن إجمالـي 264 منتجـاً للقائمـة اإللزاميـة فـي الئحـة التفضيـل السـعري اإلضافـي,٥٧,271
ما هو اسم المنصة التابعة للمنتدى الاقتصادي العالمي التي تم التعاون معها لإطلاق تحدي ابتكاري لتعزيز الأمن الغذائي في المناطق القاحلة؟,وش اسم المنصة اللي تبع المنتدى الاقتصادي العالمي اللي تعاونا معاهم عشان نسوي تحدي ابتكاري للأمن الغذائي في المناطق الجافة؟,Uplink,"إطالق تحدي ابتكاري لتعزيز األمن الغذائي في المناطق القاحلة ""Ecosystems Food Climates Arid in ""بالتعــاون مــع ""Uplink ""التابعــة للمنتــدى االقتصــادي العالمــي )WEF )لجمـع حلـول تسـاهم فـي توفيـر األغذيـة المحليـة فـي الـدول المتضـررة مـن شـح األمطـار والجفـاف والتصحـر، وذلـك لتحقيـق أهـداف التنميـة المسـتدامة وتعزيـز حضـور المملكـة الدولـي.",٥٨,274
"ما هي نسبة رضا المستفيد من منصة ""استثمر في السعودية""؟","كم نسبة رضا الناس عن منصة ""استثمر في السعودية""؟",93%,"حصـول منصـة ""اسـتثمر فـي السـعودية"" علــى المركـز األول مـع مســتوى )متقــدم( فـي منظـور ""رضـا المســتفيد” بنسـبة %93 علـى مسـتوى المملكـة.",٥٨,276
ما هو اسم المنصة الإلكترونية التي تم إطلاقها للحد من تعاملات الاقتصاد الخفي والتهرب الضريبي والتستر التجاري؟,وش اسم المنصة اللي سويناها عشان نقلل من الاقتصاد الخفي والتهرب الضريبي والتستر التجاري؟,فاتورة,تنفيــذ الفوتــرة اإللكترونيــة )فاتــورة( للحــد مــن تعامــات االقتصــاد الخفــي والتهــرب الضريبــي والتســتر التجــاري.,٥٩,281
ما هو ترتيب المملكة عالميًا في مؤشر عدد السياح الدوليين لعام 2022؟,وش ترتيبنا عالمياً في عدد السياح اللي جو عندنا في 2022؟,الثالث عشر,"حققـت المملكـة المرتبـة الــ 13 عالميـاً فـي مؤشـر عـدد السـياح الدولييـن لعـام 2022م، والمرتبـة الــ 11 عالميـاً فـي مؤشـر إيـرادات السـياحة الدوليـة لعـام 2022م، والمرتبـة الــ 2 عالميـاً فـي نسـبة نمـو السـياح الدولييـن للربـع األول مـن عـام 2023م.",٦٠,289
ما هو عدد وزراء السياحة الذين استضافتهم المملكة في يوم السياحة العالمي لعام 2023؟,كم وزير سياحة استضفناهم في يوم السياحة العالمي في 2023؟,أكثر من 50 وزير سياحة.,اسـتضافة يـوم السـياحة العالمـي لعـام 2023م فـي الريـاض والـذي اسـتضافت فيـه وزارة السـياحة أكثـر مـن 50 وزيـر سـياحة مـن مختلـف دول العالـم بمشـاركة أكثـر مـن 300 مـن قـادة القطـاع السـياحي فـي المملكـة باإلضافـة إلـى منظمـة السـياحة العالميـة بهـدف ً تبنـي عـدد مـن القـرارات الدوليـة وتعزيـز صـورة المملكـة دوليـا.,٦٠,290
"ما هو عدد المنشآت المستهدف تأهيلها في خدمة ""جدير"" لتمكين المنشآت الصغيرة والمتوسطة وتعزيز فرصها الاستثمارية؟","كم عدد الشركات الصغيرة والمتوسطة اللي نبي نساعدهم في خدمة ""جدير""؟",20 ألف منشأة في ٢٠٢٤,"الوصـول إلـى 20 ألـف منشـأة مؤهلـة فـي خدمـة جديـر، بهـدف تمكيـن المنشـآت الصغيـرة والمتوسـطة وتعزيـز فرصهـا االسـتثمارية فـي القطاعين العـام والخاص.",٦٠,291
ما هي قيمة التسهيلات الائتمانية التي تم صرفها للمصدرين السعوديين ولمستوردي السلع والمنتجات السعودية غير النفطية؟,كم قيمة القروض اللي عطيناها للمصدرين السعوديين واللي يستوردون منتجات سعودية غير نفطية؟,8.8 مليار ريال.,صـرف تسـهيالت ائتمانيـة بقيمـة 8.8 مليـار ريـال وتغطيـة تأمينيـة بقيمـة 6.8 مليـار ريـال للمصدريـن السـعوديين ولمسـتوردي السـلع والمنتجـات السـعودية غيـر النفطيـة؛ لتمكيـن المصدريــن الســعوديين مــن زيــادة صادراتهــم غيــر النفطيــة بمــا ينعكــس باإليجــاب علــى نسـبة الصـادرات السـعودية غيـر النفطيـة وتحسـين ميـزان المدفوعـات.,٦٠,294
ما هو عدد الوظائف المستهدف خلقها في قطاع الكهرباء والمعدات والأجهزة الكهربائية في عام 2024؟,كم وظيفة نبي نوفرها في قطاع الكهرباء والأجهزة الكهربائية في 2024؟,1.9 ألف وظيفة.,"جـذب اسـتثمارات جديـدة فـي قطـاع اآلالت والمعـدات واألجهـزة الكهربائيـة تصـل إلـى 669 مليـون ريـال، وذلـك تبعـاً لمسـتهدفات اسـتراتيجية قطـاع اآلالت والمعـدات، وخلـق وظائـف بعـدد 1.9 ألـف وظيفـة للعـام 2024م.",٦٠,295
كم عدد المواقع التي سيتم طرحها للمنافسات التعدينية لترخيص الكشف عن المعادن في عام 2024؟,كم موقع بنطرحه للمنافسات عشان نرخص للناس يستكشفون عن المعادن في 2024؟,أكثر من 10 مواقع.,طـرح أكثـر مـن 10 موقـع للمنافسـات التعدينيـة لرخـص الكشـف لجـذب وتحفيـز القطـاع وزيـادة معـدل اإلنفـاق علـى االستكشـاف التعدينـي فـي المملكـة.,٦٠,295
كم يبلغ حجم الإنفاق السياحي المتوقع تحقيقه في عام 2024؟,كم تتوقعون يصير حجم فلوس السياحة في 2024؟,289 مليار ريال.,تحقيــق 289 مليــار ريــال كإجمالــي حجــم إنفــاق ســياحي؛ بحيــث يســهم مباشــرة فــي االقتصـاد المحلـي ورفـع المـوارد غيـر النفطيـة ودعـم القطـاع الخـاص بتوفيـر طلـب أعلـى فــي القطــاع الســياحي.,٦١,306
ما هو الهدف من الاستراتيجية الوطنية للصناعة؟,وش الهدف من الاستراتيجية الوطنية للصناعة؟,"اقتصـــاد صناعـــي جـــاذب لالستثمار، يحقق التنـــوع االقتصادي، وينمي الناتـــج المحلــي والصـادرات ُ غيـــر النفطيـــة، ويتســم ُ بالمرونــة ويحقــق االســتدامة والتنافســية، ويعطــي لمســتهدفات رؤيــة السـعودية 2030 مالمحهـا فـي قيـادة التكامـل اإلقليمـي الصناعـي، وتحقيـق الريـادة العالميـة ُ فـي صناعـاتٍ مختـارة.","وحيـث إن التنميـة االقتصاديـة البـد لهـا مـن ذراع صناعـي يدفـع بالمجـال نحـو التقـدم، ومـن ُطلقت فـــي عـــام 2022م، التي تطمح إلى هنا تشكّ لت االستراتيجية الوطنيـــة للصناعـــة التي أ ُ اقتصـــاد صناعـــي جـــاذب لالستثمار، يحقق التنـــوع االقتصادي، وينمي الناتـــج المحلــي والصـادرات ُ غيـــر النفطيـــة، ويتســم ُ بالمرونــة ويحقــق االســتدامة والتنافســية، ويعطــي لمســتهدفات رؤيــة السـعودية 2030 مالمحهـا فـي قيـادة التكامـل اإلقليمـي الصناعـي، وتحقيـق الريـادة العالميـة ُ فـي صناعـاتٍ مختـارة.",٧٢,365
ما هي نسبة مساهمة قطاع السياحة في الناتج المحلي الإجمالي التي تستهدفها المملكة؟,كم نسبة مساهمة قطاع السياحة في الاقتصاد (الفلوس اللي نكسبها كلنا) اللي نبي نوصل لها؟,10% في 2030,"وعلــى جانــب تطويــر القطاعــات الواعــدة تأتــي االســتراتيجية الوطنيــــة للســــياحة التــي ُطلقـــت فـــي عـــام 2019م؛ لتنميـــة الســـياحة واســتدامتها ضمـن رؤيـة الســعودية ،2030 التـي أ تهدف إلى توفيـــر منظومـــة متكاملـــة مــن الخدمــات والعــروض للســياح، إضافــة إلــى توفيــر بيئــة اسـتثمارية جاذبـة للمسـتثمرين، ينتـج عنهـا اســتحداث المزيــد مــن الوظائــف فــي قطــاع الســياحة. كذلك يســـتهدف أن يســـاهم القطـــاع بــ 10 ً % فــي الناتــج المحلــي اإلجمالي.",٧٢,366
ما هي أهداف صندوق التنمية الزراعية؟,وش أهداف صندوق التنمية الزراعية؟,"المساهمة في تعزيز الأمن الغذائي مع الحفاظ على الموارد الطبيعية، والنمو الاقتصادي والتنمية الريفية الزراعية المستدامة، وتوفير أفضل وسائل التمويل والخدمات المميزة عبر الشراكات الاستراتيجية؛ لتعزيز الاستدامة المالية، وتطوير الكفاءات البشرية، وتحقيق التميز التشغيلي ضمن سياسة مخاطر سليمة.","ويســاهم الصنــدوق فــي تعزيــز األمــن الغذائــي مــع الحفــاظ علــى المــوارد الطبيعيــة، والنمــو االقتصــادي والتنميــة الريفيــة الزراعيــة المســتدامة، وتوفيــر أفضــل وســائل التمويــل والخدمــات المميــزة عبــر الشــراكات االســتراتيجية؛ لتعزيــز االســتدامة الماليــة، وتطويــر الكفــاءات البشــرية، وتحقيــق التميــز التشــغيلي ضمــن سياســة مخاطــر ســليمة.",٨٠,405
ما هو حجم القروض التي قدمها الصندوق السعودي للتنمية في عام 2023م؟,كم قيمة القروض اللي عطاها الصندوق السعودي للتنمية في 2023؟,تجاوزت 7.1 مليار ريال.,"سـاهم الصنـدوق السـعودي للتنميـة فـي تعزيـز عالقـات المملكـة مـع مختلـف الـدول الناميـة لدفـع عجلـة التنميـة االقتصاديـة المسـتدامة ودعـم عمـل المنظمـات الدوليـة، ومـن أبـرز منجـزات الصنـدوق خـال عـام 2023م تقديـم قـروض تنمويـة تجـاوزت 7.1 مليـار ريـال فـي 28 دولـة ناميـة، وتقديـم منـح تجـاوزت 2.6 مليـار ريـال لتنفيـذ مشـروعات وبرامـج انمائيـة.",٨٢,420
ما هي نسبة المنشآت الصغيرة والمتوسطة ومتناهية الصغر  من المنشآت التي استفادت من برامج دعم صندوق تنمية الموارد البشرية؟,كم نسبة الشركات الصغيرة والمتوسطة ومتناهية الصغر اللي استفادت من برامج دعم صندوق تنمية الموارد البشرية؟,89%,"ومــن أهــم منجــزات الصنــدوق حتــى نهايــة الربــع الثالــث مــن عــام 2023م، الدعــم والتدريــب والتمكيــن واإلرشــاد ألكثــر مــن 1,683 ً مليــون مســتفيدا ومســتفيدة بحوالــي 6.98 مليــار ريــال، كمـا بلـغ عـدد أصحـاب العمـل المسـتفيدين مـن برامـج الصنـدوق 97 ألفـاً مـن مختلـف مناطـق المملكــة، منهــا نحــو %89 مــن المنشــآت المتوســطة والصغيــرة والمتناهيــة الصغــر تعمــل فــي كافـة القطاعـات الحيويـة فـي المملكـة مـن برامـج دعـم الصنـدوق. كمـا سـاهم الصنـدوق فـي دعــم توظيــف نحــو 288 ألــف مواطــن ومواطنــة للعمــل فــي منشــآت القطــاع الخــاص وحافــظ علــى مســتوى رضــا عمــاء فــوق %90 مــن الشــركات واألفــراد.",٨٤,433
ما هي قيمة الاتفاقيات التي وقعها صندوق تنمية الموارد البشرية في عام 2023م لدعم التدريب في القطاعات ذات النمو المرتفع؟,كم قيمة الاتفاقيات اللي وقعها صندوق تنمية الموارد البشرية في 2023 عشان يدعم التدريب في القطاعات اللي فيها نمو عالي؟,1.5 مليار ريال.,"وقـد أكمـل الصنـدوق جهـوده فـي تصميـم االسـتراتيجية القطاعيـة لبنـاء شـراكات مـع الجهـات والقطاعــات، كمــا وقــع الصنــدوق فــي عــام 2023م قرابــة 24 اتفاقيــة بقيمــة 1.5 مليــار ريــال لدعـم التدريـب فـي القطاعـات ذات النمـو المرتفـع مثـل السـياحة والصناعـة واالتصـاالت وتقنيـة المعلومـات.",٨٥,436
ما هي القطاعات المستهدفة في الاتفاقيات التي وقعها صندوق تنمية الموارد البشرية لدعم التدريب؟,وش القطاعات اللي ركزوا عليها في الاتفاقيات اللي وقعها صندوق تنمية الموارد البشرية عشان يدربون الناس؟,مثل السياحة والصناعة والاتصالات وتقنية المعلومات.,"وقـد أكمـل الصنـدوق جهـوده فـي تصميـم االسـتراتيجية القطاعيـة لبنـاء شـراكات مـع الجهـات والقطاعــات، كمــا وقــع الصنــدوق فــي عــام 2023م قرابــة 24 اتفاقيــة بقيمــة 1.5 مليــار ريــال لدعـم التدريـب فـي القطاعـات ذات النمـو المرتفـع مثـل السـياحة والصناعـة واالتصـاالت وتقنيـة المعلومـات.",٨٥,436
ما هو عدد الوظائف التي تم استحداثها في القطاع الثقافي حتى نهاية الربع الثالث من عام 2023م؟,كم وظيفة جديدة صارت في قطاع الثقافة لين نهاية الربع الثالث من 2023؟,"1,947 وظيفة.","منــذ تأســيس الصنــدوق وحتــى نهايــة الربــع الثالــث مــن عــام 2023م، تــم إطــا ً ق عــددا مــن البرامـج ودعـم مـا يقـارب المئـة منشـأة والتـي لعبـت دور فـي إثـراء االقتصـاد الوطنـي وتنويعـه. حيـث تـم اسـتحداث 1,947 وظيفـة فـي القطـاع الثقافـي وبلغـت قيمـة المسـاهمة فـي إجمالـي الناتـج المحلـي فـي المملكـة 310 مليـون ريـال.",٨٨,461
ما هو عدد الجهات الحكومية التي تم تمكينها من استخدام خدمة التعاقد الرقمي؟,كم جهة حكومية صاروا يقدرون يستخدمون خدمة التعاقد الرقمي؟,135 جهة حكومية.,"باإلضافـة إلـى إطـاق خدمـة التعاقـد الرقمـي لــ 135 جهـة حكوميـة، حيـث جـرى توقيـع 365 عقـد رقمـي، نتـج عنـه آثـار إيجابيـة منهـا تسـريع إجـراءات التعاقـد بيـن الجهـة الحكوميـة والقطـاع الخــاص، ورفــع مســتوى جــودة المشــاريع الحكوميــة عبــر إشــراك وتمكيــن القطــاع الخــاص. كمــا أطلـق المركـز خدمـة مـزاد اعتمـاد لتمكيـن القطـاع الحكومـي من طرح المـزادات الحكومية، والذي ّ ســيكون لــه أثــر فعــال فــي تمكيــن االســتخدام األمثــل لألصــول والممتلــكات العامــة، وتعظيــم اإليـرادات غيـر النفطيـة للجهـات الحكوميـة، بمـا يعـزز النهضـة االقتصاديـة والتنمويـة فـي المملكـة.",٩٠,475
ما هو الهدف من إنشاء المختبر المتخصص لتجربة المستخدم في المركز الوطني لنظم الموارد الحكومية؟,وش الهدف من إنشاء المختبر حق تجربة المستخدم في المركز الوطني لنظم الموارد الحكومية؟,اختبار وتقييم ودراسة تفاعل المستخدم مع المنتج وتحليل ردود الأفعال والسلوكيات لتحسين المنتجات وتقديم تجربة مستخدم مثالية ومميزة.,"يْعنَ ـى المركـز الوطنـي لنظـم المـوارد الحكوميـة بإرسـاء أسس الممارسات الرقمية الاحترافية في إدارة الموارد الحكومية واالبتكار والتطوير وإدارة نظم الموارد المالية والبشـرية والمشـتريات
الحكوميـة، حيـث حقـق خـال عـام 2023 ّ م منجـزات رقميـة نوعيـة بتدشـين أول معمـل متخصـص
لتجربـة المسـتخدم علـى مسـتوى القطـاع الحكومـي، ويتضمـن المعمـل مجموعـة مـن التقنيـات
الذكيـة والحديثـة الختبـار وتقييـم ودراسـة تفاعـل المسـتخدم مـع المنتـج وتحليـل ردود األفعـال
والسـلوكيات؛ لتحسـين المنتجـات وتقديـم تجربـة مسـتخدم مثاليـة ومميـزة، حيـث تـم إجـراء 1,500
اختبــار خــال العــام علــى 25 ً منتج ً ــا رقميــا، وســاهم بتعزيــز رضــا مســتخدمي المنتجــات المحســنة
فـي المعمـل بنسـبة .%90",٩٠,473
ما هو عدد الاختبارات التي أجريت في المختبر المتخصص لتجربة المستخدم خلال العام؟,كم اختبار سووه في المختبر حق تجربة المستخدم طول السنة؟,"1,500 اختبار.","يْعنَ ـى المركـز الوطنـي لنظـم المـوارد الحكوميـة بإرسـاء أسس الممارسات الرقمية الاحترافية في إدارة الموارد الحكومية واالبتكار والتطوير وإدارة نظم الموارد المالية والبشـرية والمشـتريات
الحكوميـة، حيـث حقـق خـال عـام 2023 ّ م منجـزات رقميـة نوعيـة بتدشـين أول معمـل متخصـص
لتجربـة المسـتخدم علـى مسـتوى القطـاع الحكومـي، ويتضمـن المعمـل مجموعـة مـن التقنيـات
الذكيـة والحديثـة الختبـار وتقييـم ودراسـة تفاعـل المسـتخدم مـع المنتـج وتحليـل ردود األفعـال
والسـلوكيات؛ لتحسـين المنتجـات وتقديـم تجربـة مسـتخدم مثاليـة ومميـزة، حيـث تـم إجـراء 1,500
اختبــار خــال العــام علــى 25 ً منتج ً ــا رقميــا، وســاهم بتعزيــز رضــا مســتخدمي المنتجــات المحســنة
فـي المعمـل بنسـبة .%90",٩٠,473
ما هو عدد المنتجات الرقمية التي تم اختبارها في المختبر المتخصص لتجربة المستخدم؟,كم منتج رقمي اختبروه في المختبر حق تجربة المستخدم؟,25 منتجاً.,"يْعنَ ـى المركـز الوطنـي لنظـم المـوارد الحكوميـة بإرسـاء أسس الممارسات الرقمية الاحترافية في إدارة الموارد الحكومية واالبتكار والتطوير وإدارة نظم الموارد المالية والبشـرية والمشـتريات
الحكوميـة، حيـث حقـق خـال عـام 2023 ّ م منجـزات رقميـة نوعيـة بتدشـين أول معمـل متخصـص
لتجربـة المسـتخدم علـى مسـتوى القطـاع الحكومـي، ويتضمـن المعمـل مجموعـة مـن التقنيـات
الذكيـة والحديثـة الختبـار وتقييـم ودراسـة تفاعـل المسـتخدم مـع المنتـج وتحليـل ردود األفعـال
والسـلوكيات؛ لتحسـين المنتجـات وتقديـم تجربـة مسـتخدم مثاليـة ومميـزة، حيـث تـم إجـراء 1,500
اختبــار خــال العــام علــى 25 ً منتج ً ــا رقميــا، وســاهم بتعزيــز رضــا مســتخدمي المنتجــات المحســنة
فـي المعمـل بنسـبة .%90",٩٠,473
ما هو الهدف من إنشاء معمل البيانات في المركز الوطني لنظم الموارد الحكومية؟,وش الهدف من إنشاء معمل البيانات في المركز الوطني لنظم الموارد الحكومية؟,دعم القطاع الحكومي عبر استكشاف البيانات وتحليلها ومواءمتها مع احتياجات المستفيدين وتعظيم الاستفادة منها باستخدام أحدث التقنيات لتحسين التخطيط وتعزيز كفاءة اتخاذ القرار.,"كمــا دشــن المركــز معمــل البيانــات الــذي يدعــم القطــاع الحكومــي عبــر استكشــاف البيانــات وتحليلهــا وموائمتهــا مــع احتياجــات المســتفيدين، وتعظيــم االســتفادة منهــا باســتخدام أحــدث التقنيــات؛ لتحســين التخطيــط وتعزيــز كفــاءة اتخــاذ القــرار.",٩٠,473
"ما هو الهدف من خدمة ""مزاد اعتماد"" التي أطلقها المركز الوطني لنظم الموارد الحكومية؟","وش الهدف من خدمة ""مزاد اعتماد"" اللي طلعها المركز الوطني لنظم الموارد الحكومية؟",تمكين القطاع الحكومي من طرح المزادات الحكومية بما يمكن من الاستخدام الأمثل للاصول والممتلكات العامة وتعظيم الإيرادات غير النفطية للجهات الحكومية بما يعزز النهضة الاقتصادية والتنموية في المملكة.,"أطلـق المركـز خدمـة مـزاد اعتمـاد لتمكيـن القطـاع الحكومـي من طرح المـزادات الحكومية، والذي ّ ســيكون لــه أثــر فعــال فــي تمكيــن االســتخدام األمثــل لألصــول والممتلــكات العامــة، وتعظيــم اإليـرادات غيـر النفطيـة للجهـات الحكوميـة، بمـا يعـزز النهضـة االقتصاديـة والتنمويـة فـي المملكـة.",٩٠,475
ما هو الهدف من نظامي التأمين الطبي والدوائر الرقمية في سوق اعتماد؟,وش الهدف من نظامي التأمين الطبي والدوائر الرقمية في سوق اعتماد؟,حوكمة إجراءات المشتريات الحكومية وتمكين تفعيل الاتفاقيات الإطارية المستقبلية بمرونة ويسر بما يعزز الشفافية والفاعلية في إجراءات الشراء الحكومي.,"إلـى جانـب ذلـك أطلـق المركـز نظامـي التأميـن الطبـي، والدوائـر الرقميـة فـي سـوق اعتمـاد، والتـي أسـهمت فـي حوكمـة إجـراءات المشـتريات الحكوميـة، وتمكيـن تفعيـل االتفاقيـات اإلطاريـة المسـتقبلية بمرونة ويسـر، بما يعزز الشـفافية والفاعلية في إجراءات الشـراء الحكومي، إلى جانب تحقيـق التكامـل اإللكترونـي بيـن سـوق اعتمـاد والنظـام المالـي لتسـهيل حجـز الميزانيـة وأتمتـة إصـدار المطالبـات الماليـة، وهـذا بـدوره سـاهم فـي رفـع مسـتوى سـرعة السـداد للمسـتحقات الماليـة لمـوردي سـوق اعتمـاد.",٩٠,476
ما هو ترتيب المركز الوطني لنظم الموارد الحكومية في مؤشر نضج التجربة الرقمية لعام 2023م؟,وش ترتيب المركز الوطني لنظم الموارد الحكومية في مؤشر نضج التجربة الرقمية في 2023؟,"المرتبة الأولى بمستوى ""متقدم"".","وفــي إطــار تحســين تجربــة المســتفيد حقــق المركــز المرتبــة األولــى بمســتوى )متقــدم( فــي منظــور التعامــل مــع الشــكاوى علــى مســتوى كافــة المنصــات الرقميــة المشــاركة فــي مؤشــر نضـج التجربـة الرقميـة لعـام 2023م، وسـاهم فـي تمكيـن 1,169 جهـة حكوميـة مـن اسـتخدام األنظمــة الوطنيــة وخدمــات وزارة الماليــة والمركــز الوطنــي لنظــم المــوارد الحكوميــة، وتحســين كفــاءة وتيســير إجــراءات الخدمــات الحكوميــة، ودعــم التحــول الرقمــي، وتعزيــز الريــادة الرقميــة ً للمملكــة عالميــا.",٩٠,477
